# Swedish Computer Shops Database
# Generated: 2026-04-10
# License: CC-BY-4.0
# Attribution: Contains data from Bolagsverket and SCB, licensed under CC-BY-4.0
#   as EU High Value Datasets.
# Sources:
#   SCB bulk file: https://vardefulla-datamangder.bolagsverket.se/scb/scb_bulkfil.zip
#   Bolagsverket bulk file: https://vardefulla-datamangder.bolagsverket.se/bolagsverket/bolagsverket_bulkfil.zip
#   SCB Branschnyckeltal API (turnover estimates)
# Note: Sole traders excluded for privacy.
#   Turnover estimates are industry medians by SNI code, not company-specific.
#   Only active companies included. Headquarters and holding companies excluded.
org_number,company_name,legal_form,legal_form_description,registration_date,status,address,co_address,postal_code,city,municipality,county,primary_sni,primary_sni_description,all_sni_codes,all_sni_descriptions,business_description,match_method,match_confidence,b2c_b2b,shop_category,chain_group,chain_type,parent_company,ultimate_owner,classification_confidence,classification_method,matched_keyword,estimated_turnover_sek,turnover_source,turnover_year,data_source,extraction_date,data_license
165566740477,AB PaySystems Group Eu,AB,Aktiebolag,20050113.0,active,BOX 4138,,10263,STOCKHOLM,,,47401,Retail: computers & peripherals,"47401,46492,47761",Retail: computers & peripherals; 46492; 47761,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165561133827,AB Rönnfjords EL,AB,Aktiebolag,19720101.0,active,STORGATAN 21,,91233,VILHELMINA,,,47541,,"47541,43221,47403,43210",47541; 43221; Retail: consumer electronics; 43210,,sni_code,high,B2C,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566174321,AB ÖSTERLENS FÖRETAGSTJÄNST,AB,Aktiebolag,20011119.0,active,JÄRNVÄGSGATAN 18,,27231,SIMRISHAMN,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165562774157,ABC DATA AKTIEBOLAG,AB,Aktiebolag,19860723.0,active,MASKINVÄGEN 14,,69137,KARLSKOGA,,,33200,,"33200,47401,62201",33200; Retail: computers & peripherals; 62201,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566360284,ABK Techno Consulting AB,AB,Aktiebolag,20021205.0,active,KIVRA: 556636-0284,,10631,STOCKHOLM,,,62202,,"62202,47401",62202; Retail: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
169697922137,AC mobiltillbehör handelsbolag,HB/KB,Handelsbolag / Kommanditbolag,20191213.0,active,ÖSTERVÄGEN 14 A,CLAES ERIKSSON,16952,SOLNA,,,47402,Retail: software,47402,Retail: software,,sni_code,high,B2C,Software,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566385174,ACCURATE TECHNOLOGIES AB,AB,Aktiebolag,20030113.0,active,FLÖJELBERGSGATAN 14 C,,43137,MÖLNDAL,,,62100,,"62100,47401,62201",62100; Retail: computers & peripherals; 62201,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
169697439397,ADAB Datautveckling/IT-Service Kommanditbolag,HB/KB,Handelsbolag / Kommanditbolag,20090820.0,active,ONSALA FURUVÄG 4,,43937,ONSALA,,,95101,Repair: computers,95101,Repair: computers,,sni_name_confirmed,medium,Service,Computer Repair/Service,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165560689431,ADACTUS AKTIEBOLAG,AB,Aktiebolag,19720101.0,active,MARIEHILLSVÄGEN 19,,13337,SALTSJÖBADEN,,,46503,,"46503,47402",46503; Retail: software,,sni_code,high,B2B,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165563355634,ADB CENTRUM SYD AB,AB,Aktiebolag,19880930.0,active,VERKSTADSGATAN 20,,57235,OSKARSHAMN,,,46501,Wholesale: computers & peripherals,"46501,47401,46492,85594,47402",Wholesale: computers & peripherals; Retail: computers & peripherals; 46492; 85594; Retail: software,,sni_code,high,B2B,IT Distribution (Wholesale),Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165594656596,ADDVO AB,AB,Aktiebolag,20231229.0,active,KARLAVÄGEN 18  BV,AERCIT AB,11431,STOCKHOLM,,,62100,,"62100,47402,70200,82200,46501",62100; Retail: software; 70200; 82200; Wholesale: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165565078390,ADMITECH AKTIEBOLAG,AB,Aktiebolag,19950212.0,active,SOLROSGATAN 34,,72245,VÄSTERÅS,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566027131,ADVENT SWEDEN AB,AB,Aktiebolag,20001214.0,active,HUMLEGÅRDSGATAN 20,,11446,STOCKHOLM,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165565705786,AGGA W Entreprenad AB,AB,Aktiebolag,19990521.0,active,ARÖDS INDUSTRIVÄG 68,ALEKSANDER,41705,GÖTEBORG,,,81210,,"81210,47401",81210; Retail: computers & peripherals,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165564706371,AHLSÉN ANTENN/TELE AB,AB,Aktiebolag,19930813.0,active,VALLDAVÄGEN 29 J,,43490,VALLDA,,,95210,,"95210,47402",95210; Retail: software,,sni_code,high,Service,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165569607855,AJC Konsulten AB,AB,Aktiebolag,20140206.0,active,BOX 43,,18421,ÅKERSBERGA,,,69201,,"69201,47401,70200,79120,62201",69201; Retail: computers & peripherals; 70200; 79120; 62201,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165562983402,AKTIEBOLAGET CARL RADIOKONTROLL,AB,Aktiebolag,19870604.0,active,SPÄRRGATAN 3,,65341,KARLSTAD,,,47403,Retail: consumer electronics,"47403,95102,47402",Retail: consumer electronics; Repair: telecom equipment; Retail: software,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566087754,AKTIEBOLAGET HESTRA RADIO OCH SPORT,AB,Aktiebolag,20010329.0,active,MOGATAN 2,,33571,HESTRA,,,47403,Retail: consumer electronics,"47403,47631",Retail: consumer electronics; 47631,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165564845922,AKTIEBOLAGET HÅKANS RADIO & TV,AB,Aktiebolag,19940326.0,active,INDUSTRIGATAN 21,,82141,BOLLNÄS,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165561254979,AKTIEBOLAGET KALIX ELEKTRISKA AFFÄR,AB,Aktiebolag,19720101.0,active,BOX 10029,,95227,KALIX,,,43210,,"43210,47403",43210; Retail: consumer electronics,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165560666926,AKTIEBOLAGET KNUT SEHLIN,AB,Aktiebolag,19720101.0,active,STRANDGATAN 11,,89139,ÖRNSKÖLDSVIK,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165562773886,AKTIEBOLAGET STUDIO 38,AB,Aktiebolag,19860625.0,active,STENSTORP 510,,31167,SLÖINGE,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165561547216,AKTIEBOLAGET WIKSTENS MUSIKVARUHUS,AB,Aktiebolag,19720101.0,active,FLANADEN 2,,57230,OSKARSHAMN,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165569723488,ALIBRA IT Consulting AB,AB,Aktiebolag,20140522.0,active,ROSENHILLSVÄGEN 5,,14144,HUDDINGE,,,81100,,"81100,47401,61100,43210,47402",81100; Retail: computers & peripherals; 61100; 43210; Retail: software,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566354519,ALLDATA KONTOR I MALMÖ AB,AB,Aktiebolag,20021128.0,active,JÄRNVÄGSGATAN 5 B LGH 1103,,23144,TRELLEBORG,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165562108646,ALLKONTORSMASKIN KURT HYLLENDAL AKTIEBOLAG,AB,Aktiebolag,19810101.0,active,MELONVÄGEN 19,,17833,EKERÖ,,,47401,Retail: computers & peripherals,47401,Retail: computers & peripherals,,sni_code,high,B2C,Computer & Peripherals,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
169697055193,ALLMEDICAL AND ELECTRONIC BÅLSTA HANDELSBOLAG,HB/KB,Handelsbolag / Kommanditbolag,20041028.0,active,MÖRTVÄGEN 18,ALLAN ENGLUND,74691,BÅLSTA,,,46189,,"46189,47403,71122",46189; Retail: consumer electronics; 71122,,sni_code,high,B2B,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165566113477,ALLT I MOBIL VÄST AKTIEBOLAG,AB,Aktiebolag,20010713.0,active,LENNART KVARNSTRÖMS PLATS 4,ALLT I MOBIL,43530,MÖLNLYCKE,,,95102,Repair: telecom equipment,"95102,47402",Repair: telecom equipment; Retail: software,,sni_code,high,Service,Telecom Repair/Service,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
165568410509,AMEGA Speaker Systems AB,AB,Aktiebolag,20110210.0,active,LEMUNDA 317,,59196,MOTALA,,,26400,,"26400,46432,47403",26400; 46432; Retail: consumer electronics,,sni_code,high,,,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
169165701823,AMT RADIO TV & VIDEO HANDELSBOLAG,HB/KB,Handelsbolag / Kommanditbolag,19861203.0,active,BOX 18,,52221,TIDAHOLM,,,47403,Retail: consumer electronics,47403,Retail: consumer electronics,,sni_code,high,B2C,Consumer Electronics,Independent,Independent,,,N/A,default,,,,,SCB + Bolagsverket bulk files,2026-04-10,CC-BY-4.0
